사업명,지원대상,지원내용,신청방법,사업종료일,출처,상세링크,AI_학습용_데이터
연제청년창업나래센터 신규 입주기업 모집(예비 또는 초기 창업자),만 18세 ~ 39세,"<연제청년창업나래센터 청년창업 입주자 모집>
모집기간 : 2025. 3. 4~ 3. 11(화) 18시까지
모집규모 : 개별사무실- 1인실 2개, 2인실 2개  
지원자격 : 공고일 기준 18~39세 주민등록 또는 사업장 소재지가 부산시 
                예비창업(6개월이내 창업예정) 또는 초기창업자(사업자등록7년미만)

","이메일(yeonje_2024@naver.com)  또는 센터 방문 신청
신청서 및 증빙서류 제출 
연제청년창업나래센터 홈페이지에서 신청서,사업계획서 서식 다운로드 가능 

세부사항 문의 : 051-862-3733~5",내용 없음,청년정책(API),,연제청년창업나래센터 신규 입주기업 모집예비 또는 초기 창업자 만 18세 39세 연제청년창업나래센터 청년창업 입주자 모집 모집기간 2025 3 4 3 11화 18시까지 모집규모 개별사무실 1인실 2개 2인실 2개 지원자격 공고일 기준 1839세 주민등록 또는 사업장 소재지가 부산시 예비창업6개월이내 창업예정 또는 초기창업자사업자등록7년미만
광주자치경찰 청년 서포터즈 112,만 19세 ~ 39세,"❍ 활동횟수 : 5회 이상
❍ 활동방법 : 회차별 미션 부여
- (필수) 홍보 콘텐츠 SNS 게시(개인 계정), 공유 5건 이상
- (자율) 자치경찰 관련 3행기 짓기, 슬로건 제작, 시책 아이디어 제안 등
❍ 활동보고 : 자치경찰위원회 홈페이지 내 서포터즈 전용 게시판
❍ 활동혜택
- (기프티콘 제공) 필수·자율활동 완료자(6,000원 이내/1회당)
- (수료증 발급) 총 5회 이상 활동자
- (자치경찰위원장 감사장 수여) 활동 우수 서포터즈 선발
※ 참여 실적(기본), 우수 정책 제안자 및 홍보 컨텐츠 제작자, 기타 모범이 된 자",구글폼(https://forms.gle/mdp2NPRZQEBqFJtH6)을 통한 신청서 제출,내용 없음,청년정책(API),https://forms.gle/mdp2NPRZQEBqFJtH6,광주자치경찰 청년 서포터즈 112 만 19세 39세 활동횟수 5회 이상 활동방법 회차별 미션 부여 필수 홍보 콘텐츠 게시개인 계정 공유 5건 이상 자율 자치경찰 관련 3행기 짓기 슬로건 제작 시책 아이디어 제안 등 활동보고 자치경찰위원회 홈페이지 내 서포터즈 전용 게시판 활동혜택 기프티콘 제공 필수자율활동 완료자6000원 이내1회당 수료증 발급 총 5회 이상 활동자 자치경찰위원장 감사장 수여 활동 우수 서포터즈 선발 참여 실적기본 우수 정책 제안자 및 홍보 컨텐츠 제작자 기타 모범이 된 자
광주청년정책조정위원회 위촉직 위원 모집,만 0세 ~ 0세,"청년정책 기본계획과 시행계획의 수립 및 변경사항 심의·의결, 청년정책 시행계획의 연도별 추진 실적 점검 및 평가, 회의 참석 수당 지급 등","신청방법 : 광주청년통합플랫폼 홈페이지(https://youth.gwangju.go.kr/) 접수 / 상단 지원정책 신청하기 클릭
☞ 홈페이지 접속 → 회원가입 → 로그인 → 청년참여 → “광주청년정책조정위원회” → 신청하기 클릭 → 신청서 작성(제출서류〔서식1~서식2〕 파일* 업로드)",내용 없음,청년정책(API),https://youth.gwangju.go.kr/,광주청년정책조정위원회 위촉직 위원 모집 만 0세 0세 청년정책 기본계획과 시행계획의 수립 및 변경사항 심의의결 청년정책 시행계획의 연도별 추진 실적 점검 및 평가 회의 참석 수당 지급 등
광주형 청년일자리 공제,만 19세 ~ 39세,"청년이 2년간 500만원을 적립하면
기업(200만원)과 광주시(300만원)가 각각 적립
24개월 후 만기공제금 1,000만원 지원",광주청년통합플랫폼(https://youth.gwangju.go.kr) 온라인 접수,내용 없음,청년정책(API),https://youth.gwangju.go.kr,광주형 청년일자리 공제 만 19세 39세 청년이 2년간 500만원을 적립하면 기업200만원과 광주시300만원가 각각 적립 24개월 후 만기공제금 1000만원 지원
서울시 청년수당,만 19세 ~ 34세,"ㅇ (금전적 지원) 매월 50만원 × 최대 6개월
ㅇ (성장 지원) 청년 유형별 맞춤형 프로그램 지원- 단계별 진로설계 과정에 따른 맞춤형 지원, 장기 멘토링 프로그램 제공- 진로준비에 도움을 줄 서울시 정책사업 연계 지원
ㅇ 지원방법 : 체크카드(*클린카드) 사용 
* 해외사용이 불가하고, 사용 업종이 제한된 카드(호텔, 주점, 귀금속판매 등 48개 업종) ","□ 신청하는 곳 (청년몽땅정보통 > 금융·복지 > 청년수당 > 신청 바로가기 )
  ㅇ 청년몽땅정보통(youth.seoul.go.kr) 접속 후, 온라인 접수
    - 접수기간 내 온라인 신청만 가능 (직접 접수 및 우편접수 등 불가능)",내용 없음,청년정책(API),https://youth.seoul.go.kr/youthConts.do?key=2310100061&sc_detailAt=&pageIndex=1&orderBy=regYmd+desc&tabKind=201&pwKind=&sc_pbancSe=&sc_pbancSeCd=012&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200011&sc_pstSn=2503040001&sc_rvwSn=0&sc_userId=&sc_ntcPstYn=&sc_delYn=&sc_ctgry=&useYn=&sc_faqCtgryCd=005&sc_qnaCtgryCd=004&sc_plcyQnaSn=0&pstSn=&recordCountPerPage=10&sc_wDateS=&sc_wDateE=&sc=&sw=,서울시 청년수당 만 19세 34세 금전적 지원 매월 50만원 최대 6개월 성장 지원 청년 유형별 맞춤형 프로그램 지원 단계별 진로설계 과정에 따른 맞춤형 지원 장기 멘토링 프로그램 제공 진로준비에 도움을 줄 서울시 정책사업 연계 지원 지원방법 체크카드클린카드 사용 해외사용이 불가하고 사용 업종이 제한된 카드호텔 주점 귀금속판매 등 48개 업종
AI 보안관제 전문인력 양성(5기) 교육,만 0세 ~ 34세,"학업장려금 지급, 우수 수료생 해외연수, 교육과정 수료생 대상 취업지원(채용형 인턴십 등) 프로그램 제공",KISA 아카데미 홈페이지를 통한 참가신청,내용 없음,청년정책(API),https://academy.kisa.or.kr,보안관제 전문인력 양성5기 교육 만 0세 34세 학업장려금 지급 우수 수료생 해외연수 교육과정 수료생 대상 취업지원채용형 인턴십 등 프로그램 제공
K-Shield 주니어 14기 정규과정,만 0세 ~ 34세,"학업장려금 지급, 우수 수료생 해외연수, 교육과정 수료생 대상 취업지원(인턴십 연계 등)",KISA 아카데미 홈페이지를 통한 신청,내용 없음,청년정책(API),https://academy.kisa.or.kr,주니어 14기 정규과정 만 0세 34세 학업장려금 지급 우수 수료생 해외연수 교육과정 수료생 대상 취업지원인턴십 연계 등
지역 중소기업 취업청년 학자금 대출 상환지원,만 18세 ~ 45세,"1인당 월 최대 100천원, 연 1,200천원 한도",,내용 없음,청년정책(API),,지역 중소기업 취업청년 학자금 대출 상환지원 만 18세 45세 1인당 월 최대 100천원 연 1200천원 한도
인재육성 장학금 지원,만 0세 ~ 0세,"분야별 장학금 지급(성적, 지역봉사, 지역정착, 외국인 등)",전남인재평생교육진흥원 누리집 신청,내용 없음,청년정책(API),,인재육성 장학금 지원 만 0세 0세 분야별 장학금 지급성적 지역봉사 지역정착 외국인 등
전라남도 해외유학생 지원,만 0세 ~ 0세,1인당 최대 1억원(2년 분할),전남인재평생교육진흥원 누리집 신청,내용 없음,청년정책(API),,전라남도 해외유학생 지원 만 0세 0세 1인당 최대 1억원2년 분할
대학생 무한도전 프로젝트(해외),만 0세 ~ 0세,팀당 최대 50백만원 활동비 지원,CES팀 → 소속대학 → 전남인재평생교육진흥원 신청,내용 없음,청년정책(API),,대학생 무한도전 프로젝트해외 만 0세 0세 팀당 최대 50백만원 활동비 지원
연구인재 역량강화 프로젝트,만 0세 ~ 0세,연구활동비 지원,전남인재평생교육진흥원 누리집 신청,내용 없음,청년정책(API),,연구인재 역량강화 프로젝트 만 0세 0세 연구활동비 지원
대학생 프레젠테이션(스피치) 대회,만 0세 ~ 0세,시상금 총 5백만원(대상 200백만원),,내용 없음,청년정책(API),http://kdjnpmemorial.or.kr,대학생 프레젠테이션스피치 대회 만 0세 0세 시상금 총 5백만원대상 200백만원
청춘어람 육성사업,만 18세 ~ 45세,"사전답사, 현장활동비 1백만원, 상품개발비 5백만원 지원",    ① 신청서류 접수(전라남도 관광재단),내용 없음,청년정책(API),,청춘어람 육성사업 만 18세 45세 사전답사 현장활동비 1백만원 상품개발비 5백만원 지원
충주시 관내학교 졸업생 장기근속 장려금 지원,만 19세 ~ 39세,"사업대상 : 최근 3년 이내(2023~2025년) 관내 고등·대학교· 대학원 졸업(예정)자가 관내 기업에 정규직으로 채용되어 6개월 이상 근속한 자
사업내용 : 충주시에 본사 또는 사업장을 둔 기업에 정규직으로 채용되어 6개월간 근속 근무한 경우 1회 50만원 지급","○ 신청방법
 - 방문: 충주시일자리종합지원센터
 - 전자메일: goodjob16@korea.kr
- 홈페이지: https://job.chungju.go.kr
(지원사업-관내학교 졸업생 장기근속 장려금)
 - 카카오톡채널
 : http://pf.kakao.com/_kxmzij (1:1 채팅)
 - 팩스: 043-848-9169",내용 없음,청년정책(API),,충주시 관내학교 졸업생 장기근속 장려금 지원 만 19세 39세 사업대상 최근 3년 이내20232025년 관내 고등대학교 대학원 졸업예정자가 관내 기업에 정규직으로 채용되어 6개월 이상 근속한 자 사업내용 충주시에 본사 또는 사업장을 둔 기업에 정규직으로 채용되어 6개월간 근속 근무한 경우 1회 50만원 지급
충주시 청년 구직자 취업 지원,만 19세 ~ 39세,"■ 사업대상 : (공통) 고용24(워크넷) 구직등록자
- 사진 촬영비 : 19~39세, 충주시민 또는 충주기업 입사 지원자
- 면접비 지원 : 19~39세, 충주 관내 기업 면접자
- 자격증 취득지원 : 19세~65세, 충주에 주소를 두고 있는 실업자
- 면접정장 무료대여 : 15세 이상으로 충주시민 또는 충주에서
활동하는 자(재학,재직) 또는 충주기업 면접자
■ 사업내용
- 사진 촬영비 : 1인당 1회, 3만원 내 실비
- 면접비 지원 : 1인당 1회 5만원
- 자격증 취득지원 : 1인당 2회, 총 5만원 내 실비
- 면접정장 무료대여 : 면접에 필요한 의류 일체 (1인당 연5회)",충주시일자리종합지원센터 홈페이지 참고,내용 없음,청년정책(API),https://job.chungju.go.kr/,충주시 청년 구직자 취업 지원 만 19세 39세 사업대상 공통 고용24워크넷 구직등록자 사진 촬영비 1939세 충주시민 또는 충주기업 입사 지원자 면접비 지원 1939세 충주 관내 기업 면접자 자격증 취득지원 19세65세 충주에 주소를 두고 있는 실업자 면접정장 무료대여 15세 이상으로 충주시민 또는 충주에서 활동하는 자재학재직 또는 충주기업 면접자 사업내용 사진 촬영비 1인당 1회 3만원 내 실비 면접비 지원 1인당 1회 5만원 자격증 취득지원 1인당 2회 총 5만원 내 실비 면접정장 무료대여 면접에 필요한 의류 일체 1인당 연5회
서귀포시 대학생·청년 아르바이트 사업,만 19세 ~ 39세,"본청 및 읍면동주민센터 등 배치부서 업무 특성에 따른 행정업무 지원
-1일 8시간, 주5일 근무, 매년 1월(동계)·7월(하계) 4주간 근무에 따른 급여 지급",서귀포시청홈페이지 아르바이트 신청 페이지에서 신청 ,내용 없음,청년정책(API),https://www.seogwipo.go.kr/group/selfgoverning/planning/job/summary.htm,서귀포시 대학생청년 아르바이트 사업 만 19세 39세 본청 및 읍면동주민센터 등 배치부서 업무 특성에 따른 행정업무 지원 1일 8시간 주5일 근무 매년 1월동계7월하계 4주간 근무에 따른 급여 지급
서귀포시 청년정책협의체 운영,만 19세 ~ 39세,"□ 서귀포시 청년정책협의체 공모에 따른 청년위원 위촉
1. 청년 의견 수렴 및 청년정책 발굴 등
→ 분과·전체회의 등을 통한 정책 발굴 논의 → 실무부서 검토 → 주민참여예산(청년사업 등) 제출
2. 타 시도 네트워크 교류 활동
3. 도내 청년단체 커뮤니티와의 협업 프로그램 추진
4. 청년정책 제안 프로그램 운영
5. 결과공유회 개최로 성과 공유 ","매년 11월~12월 사이 서귀포시 청년정책협의체 위원 공고안을 서귀포시청 홈페이지(일반공고, 알림마당, 서귀포시 기획예산과 공지사항 홈페이지에서 확인 가능)에 게시
→ 해당 서식(지원신청서, 개인정보동의서)에 맞춰 작성하여 담당자에 제출(이메일 제출 또는 방문 접수, 우편 제출 등) → 합격자 개별 발표 ",내용 없음,청년정책(API),https://www.seogwipo.go.kr/,서귀포시 청년정책협의체 운영 만 19세 39세 서귀포시 청년정책협의체 공모에 따른 청년위원 위촉 1 청년 의견 수렴 및 청년정책 발굴 등 분과전체회의 등을 통한 정책 발굴 논의 실무부서 검토 주민참여예산청년사업 등 제출 2 타 시도 네트워크 교류 활동 3 도내 청년단체 커뮤니티와의 협업 프로그램 추진 4 청년정책 제안 프로그램 운영 5 결과공유회 개최로 성과 공유
2025년 순창군 대학 진학 축하금 지원,만 0세 ~ 0세," 지원대상 : 관내·관외고등학교를 졸업 또는 고졸 검정고시 합격 후 3년이내 대학교에 진학한 자
    - 신청기준일 현재 본인과 보호자가 순창군에 주민등록이 되어 있는 자
    - 관외고등학교 졸업자는 관내 중학교를 졸업하고, 고등학교 졸업 전 계속하여 1년간 관내에 
       주민등록이 되어있는 자
      ※ 관외고 졸업자는 2024년 관련 조례 개정으로 2024년 졸업자부터 지원
    - 고졸 검정고시 합격자는 합격 당시 1년 이상 순창군에 주민등록이 되어있는 자
      ※ 사이버 대학, 방송통신대학 및 학점은행제는 지원불가

지원내용 : 학생 1명당 200만원(총1회에 한함) 
","    - 접 수 처 : 신청자 본인의 주민등록상 주소지 관할 읍・면행정복지센터
    - 신청자격 : 본인 또는 보호자(민법상 보호자)
",내용 없음,청년정책(API),,2025년 순창군 대학 진학 축하금 지원 만 0세 0세 지원대상 관내관외고등학교를 졸업 또는 고졸 검정고시 합격 후 3년이내 대학교에 진학한 자 신청기준일 현재 본인과 보호자가 순창군에 주민등록이 되어 있는 자 관외고등학교 졸업자는 관내 중학교를 졸업하고 고등학교 졸업 전 계속하여 1년간 관내에 주민등록이 되어있는 자 관외고 졸업자는 2024년 관련 조례 개정으로 2024년 졸업자부터 지원 고졸 검정고시 합격자는 합격 당시 1년 이상 순창군에 주민등록이 되어있는 자 사이버 대학 방송통신대학 및 학점은행제는 지원불가 지원내용 학생 1명당 200만원총1회에 한함
청년문화예술패스,만 19세 ~ 19세,"1인당 연 10만원~15만원 공연·전시 관람비 지원
* 10만원(국비) 즉시 지급, 5만원(지방비) 지자체별 사정에 따라 지급
(10만원 지원)대구광역시, 대전광역시, 세종특별자치시, 경기도(성남시, 안산시), 전북특별자치도(전주시)
(15만원 지원)그 외 지역 
※ 신청 시점의 주민등록 주소지를 기준으로 지급됩니다.
※ 10만원(국비)은 즉시 지급되며, 5만원(지방비)은 지자체별 예산 확보에 따라 지급됩니다.
※ 지방비가 추후 지급되는 지역의 경우, 해당 협력예매처의 회원계정으로 자동 지급됩니다. (지급 후 대상자 문자메시지 안내)","청년문화예술패스 누리집 회원가입 후 온라인 신청
협력예매처(인터파크 티켓 or YES24 티켓) 회원가입 및 본인인증 진행 ▶ 청년문화예술패스 누리집 회원가입 및 로그인 ▶ 본인인증 및 신청 ▶ 신청자격 검증 및 패스 발급  ▶ 선택한 협력예매처에서 공연·전시 예매 및 관",내용 없음,청년정책(API),https://youthculturepass.or.kr/kr/main.do,청년문화예술패스 만 19세 19세 1인당 연 10만원15만원 공연전시 관람비 지원 10만원국비 즉시 지급 5만원지방비 지자체별 사정에 따라 지급 10만원 지원대구광역시 대전광역시 세종특별자치시 경기도성남시 안산시 전북특별자치도전주시 15만원 지원그 외 지역 신청 시점의 주민등록 주소지를 기준으로 지급됩니다 10만원국비은 즉시 지급되며 5만원지방비은 지자체별 예산 확보에 따라 지급됩니다 지방비가 추후 지급되는 지역의 경우 해당 협력예매처의 회원계정으로 자동 지급됩니다 지급 후 대상자 문자메시지 안내
서울청년문화패스,만 20세 ~ 23세,"공연과 전시 관람에 사용할 수 있는 1인당 연간 최대 20만원 상당의 문화이용권(카드) 지급
ㅇ 관람분야 : 공연(연극·뮤지컬·클래식·오페라·무용·국악), 전시
ㅇ 관람방법 : 서울청년문화패스 홈페이지에서 예매 후 관람
ㅇ 예매기준 : 예매 건당 7만원 이내 사용(추가금액 자부담)
 ※ 뮤지컬은 지원기간 중 1회만 예매 가능","신청(온라인) → 자격확인·선정 → 카드발급(비대면) → 사용(결제)
※ 장애인 등 온라인 신청이 어려운 취약계층은 평일 업무시간(9~12시 / 13~18시) 콜센터를 통해 신청 가능 (☎ 1533-3427)
※ 방문 신청이나 우편 신청 불가

□ 신청 시 필수 입력 정보(주민등록 또는 외국인등록대장 기준)
ㅇ 이름, 성별, 주소, 연락처(휴대전화, 이메일)
ㅇ 주민등록번호(외국인등록번호)
※ 입력 정보가 실제와 다를 경우 선정이 취소될 수 있음

□ 동의서 작성(필수) : 개인정보 수집·이용, 고유식별정보 처리, 제3자 제공, 행정정보공동이용 동의
ㅇ 수집정보 : 성명, 주민등록번호, 휴대전화(연락처), 이메일, 성별, 주소, 건강보험 관련 정보, 병역 관련 정보
ㅇ 활    용 : 행정정보 공동이용 비대면 자격확인 서비스를 활용하여 신청 시 나이, 거주지 즉시 확인",내용 없음,청년정책(API),https://youth.seoul.go.kr,서울청년문화패스 만 20세 23세 공연과 전시 관람에 사용할 수 있는 1인당 연간 최대 20만원 상당의 문화이용권카드 지급 관람분야 공연연극뮤지컬클래식오페라무용국악 전시 관람방법 서울청년문화패스 홈페이지에서 예매 후 관람 예매기준 예매 건당 7만원 이내 사용추가금액 자부담 뮤지컬은 지원기간 중 1회만 예매 가능
상무지구 광주형 통합공공임대주택 건립,만 19세 ~ 39세,"무주택 가구의 주거안정을 위해 새로운 유형의 질 좋은 공공임대주택 공급
- 통합공공임대주택 460세대 건립(36㎡ 68, 59㎡ 172, 84㎡ 220)",,내용 없음,청년정책(API),,상무지구 광주형 통합공공임대주택 건립 만 19세 39세 무주택 가구의 주거안정을 위해 새로운 유형의 질 좋은 공공임대주택 공급 통합공공임대주택 460세대 건립36 68 59 172 84 220
청년맞춤형 주택임차보증금 이자지원,만 19세 ~ 39세,2억원이하 주택임차보증금 90% 이내(최대1억원) 이자 일부(2%) 2년간 이차보전 | 연장1회 최장4년,"광주청년통합플랫폼 - 청년맞춤형 주택임차보증금 이자지원 신청하기 클릭(신청시작일 생성), 접수 - 적격자 알림(시→은행, 신청인) - 대출적격자 통보(은행→신청인, 시) - 대출실행(은행→신청인) - 이자지원(시→은행)",내용 없음,청년정책(API),https://youth.gwangju.go.kr,청년맞춤형 주택임차보증금 이자지원 만 19세 39세 2억원이하 주택임차보증금 90 이내최대1억원 이자 일부2 2년간 이차보전 연장1회 최장4년
지역정주지원금 지원(빛고을직업교육혁신지구 고도화),만 0세 ~ 0세,"- 지역정주지원금 1인당 50만원(3개월)+70만원(5개월) / 매월 지급(최대 8개월, 1인당 500만원이내)
※ 일‧학습병행지원금과 중복지급 불가","- 광주청년통합플랫폼에서 지원신청(접수기간 내 상단에 지원사업 신청하기 클릭)
- 신청기한( ~2025.4.30.까지) 이후 신청자 ‘지역정주지원금 지급 불가’",내용 없음,청년정책(API),https://youth.gwangju.go.kr,지역정주지원금 지원빛고을직업교육혁신지구 고도화 만 0세 0세 지역정주지원금 1인당 50만원3개월70만원5개월 매월 지급최대 8개월 1인당 500만원이내 일학습병행지원금과 중복지급 불가
마을청년활동가 운영,만 19세 ~ 39세,"
- 근로계약기간 : 2025년 3월 17일 ~ 2025년 12월 31일
- 월 보 수 : 2,702,370원(기본급, 4대보험 포함)
- 근로시간 : 주5일(월~금) 근무, 9:00~18:00(8시간)
- 휴게시간 : 주간 1시간(12:00 ~ 13:00)","○ 원서교부 : 광주광역시 및 센터 홈페이지(양식 첨부)
- 광주광역시 홈페이지(https://www.gwangju.go.kr/) → 시험인사정보 → 우리시산하기관
- 광주광역시도시재생공동체센터 홈페이지(http://www.gurcc.or.kr/) → 센터소식 → 공지사항
○ 접수방법 : 메일접수(1개의 PDF 파일로 제출, 파일 제출시 파일명 ‘2025 마을청년활동가 지원_성함’)
○ 접 수 처 : jsh@gurcc.or.kr
○ 접수마감 : 2025. 2. 28. 17시까지 도착분(문의 ☎062-515-0847)
○ 기타사항 : 응시표에 기재된 희망 근무지는 참고자료로 활용되며, 채용과정에서 근무지는 조정될 수 있음",내용 없음,청년정책(API),http://gurcc.or.kr,마을청년활동가 운영 만 19세 39세 근로계약기간 2025년 3월 17일 2025년 12월 31일 월 보 수 2702370원기본급 4대보험 포함 근로시간 주5일월금 근무 90018008시간 휴게시간 주간 1시간1200 1300
초등학부모 10시출근제 도입 중소사업장 장려금 지원사업,만 0세 ~ 0세,"
300인미만 중소사업장 초등학부모 10시 출근제 장려금 지급 ⇒ 학부모 직원은 1시간씩 임금 삭감 없는 근무시간 단축
(출근시간 10시 연장 및 퇴근시간 단축 : 1시간 업무단축)

※ 장려금 총액 : 800,000원=2개월×400,000원(40만원=10시 출근으로 줄어든 업무시간 1개월간 손실분을 산정함)","광주아이키움(https://www.xn--hc0by27bu6atul3dc6t.kr/) 회원가입 - 신청서 작성 및 제출서류 업로드

①[신청] 제출서류
②[등록후 대기]서류검토후 확정(최대5일/확정공문 및 문자발송)
③[확정사업장 운영] 2개월후 결과서류 우편 제출 (붙임공고문,유의사항확인), 검토후 장려금회사로지급",내용 없음,청년정책(API),https://www.xn--hc0by27bu6atul3dc6t.kr/main/hChildEntrance,초등학부모 10시출근제 도입 중소사업장 장려금 지원사업 만 0세 0세 300인미만 중소사업장 초등학부모 10시 출근제 장려금 지급 학부모 직원은 1시간씩 임금 삭감 없는 근무시간 단축 출근시간 10시 연장 및 퇴근시간 단축 1시간 업무단축 장려금 총액 800000원2개월400000원40만원10시 출근으로 줄어든 업무시간 1개월간 손실분을 산정함
청년 우울증 치료비 지원,만 18세 ~ 39세,"- 관내 정신건강의학과 전문의에 의한 치료비, 약제비에 소요되는 외래 본인일부부담금(외래비)
- 1인 1년 최대 400,000원 / 실비지원, 최대 2년차까지 지원","❍ 접수기간: 2025. 2. 3.(월) 09:00 ∼ 2. 28.(금) 18:00
❍ 접수방법
  - 이메일(psy1593@korea.kr) ※ 2. 28.(금) 18:00 도착분까지 접수 가능
  ※ 제출서류의 허위기재, 기재사항 착오 및 누락, 연락 불능 등으로 인한 불이익은 지원자의 책임으로 함",내용 없음,청년정책(API),https://www.wonju.go.kr/wjyouth/selectBbsNttView.do?key=5882&bbsNo=1190&nttNo=453294&searchCtgry=&searchCnd=SJ&searchKrwd=%EC%9A%B0%EC%9A%B8%EC%A6%9D&pageIndex=1&integrDeptCode=,청년 우울증 치료비 지원 만 18세 39세 관내 정신건강의학과 전문의에 의한 치료비 약제비에 소요되는 외래 본인일부부담금외래비 1인 1년 최대 400000원 실비지원 최대 2년차까지 지원
마이스터대 지원,만 0세 ~ 0세,"○ (목적) 고숙련 전문기술인재로의 성장경로를 제시하고 체계적·장기적 역량개발을 지원하는 새로운 고등직업교육모델인 '마이스터대' 지원

○  (주요 내용) 신산업 분야 등 고숙련 전문기술인재 양성을 위해 직무 중심의 고도화된 교육과정을 운영하는 '마이스터대*' 지원 및 내실화 추진
 *직무 중심의 교육과정(단기직무-전문학사-전공심화과정-전문기술석사과정)을 편성하여 운영

○ (전달체계) 교육부 → 한국연구재단 → 사업 참여 대학

○ (진행경과 및 추진 실적)
 - 전문기술석사과정의 설치·운영 근거를 마련하는  「고등교육법」 개정('21.3.)
 - 마이스터대 1차 시범운영 사업 대학 선정('21.4.) 및 '22학년도 전문기술석사과정 인가('21.12.)를 통한 마이스터대 모델 도입 완료
  ※ 선정결과: 총 5개교(단독형 2개교, 컨소시엄형 3개교, 13개 교육과정)
 - 국정과제 85-6(지금은 지방대학 시대) 선정
 - '23학년도 마이스터대 지원사업 운영 대학 선정('23.4., 6개교 7개 과정)
 - '24학년도 마이스터대 지원사업 운영 대학 선정('24.7., 3개교 3개 과정)
 - '25학년도 이후 지역혁신중심 대학지원체계(RISE) 내역사업으로 예산 이관",,내용 없음,청년정책(API),,마이스터대 지원 만 0세 0세 목적 고숙련 전문기술인재로의 성장경로를 제시하고 체계적장기적 역량개발을 지원하는 새로운 고등직업교육모델인 마이스터대 지원 주요 내용 신산업 분야 등 고숙련 전문기술인재 양성을 위해 직무 중심의 고도화된 교육과정을 운영하는 마이스터대 지원 및 내실화 추진 직무 중심의 교육과정단기직무전문학사전공심화과정전문기술석사과정을 편성하여 운영 전달체계 교육부 한국연구재단 사업 참여 대학 진행경과 및 추진 실적 전문기술석사과정의 설치운영 근거를 마련하는 고등교육법 개정213 마이스터대 1차 시범운영 사업 대학 선정214 및 22학년도 전문기술석사과정 인가2112를 통한 마이스터대 모델 도입 완료 선정결과 총 5개교단독형 2개교 컨소시엄형 3개교 13개 교육과정 국정과제 856지금은 지방대학 시대 선정 23학년도 마이스터대 지원사업 운영 대학 선정234 6개교 7개 과정 24학년도 마이스터대 지원사업 운영 대학 선정247 3개교 3개 과정 25학년도 이후 지역혁신중심 대학지원체계 내역사업으로 예산 이관
청년 창업자 역량강화 컨설팅 지원,만 19세 ~ 39세,"컨설팅 수행기관과 관내 청년창업자들이 1대1 경영컨설팅을 통해 접경지역의 불리한 지리적 환경과 자원활용의 한계성을 극복하고, 청년들의 지역정착 정주여건 마련","고성 평생살기, 청년 창업지원 사업 선정 청년 창업자에 대한 경영컨설팅 지원으로 별도 신청절차 없음.",내용 없음,청년정책(API),,청년 창업자 역량강화 컨설팅 지원 만 19세 39세 컨설팅 수행기관과 관내 청년창업자들이 1대1 경영컨설팅을 통해 접경지역의 불리한 지리적 환경과 자원활용의 한계성을 극복하고 청년들의 지역정착 정주여건 마련
청년주택드림청약통장,만 19세 ~ 34세,"□ 이자율: 최대 4.5%
□ 소득기준: 연 5,000만원(직전년도 신고소득이 있는 자 기준), 무주택자
□ 납입한도: 월 100만원
□ 납입금액의 40%까지 소득공제
□ 주택청약에 당첨된 경우 청년주택드림 대출 연계
  ㅇ 청년주택드림 청약통장 1년 이상 가입
  ㅇ 1,000만원 이상 납입
  ㅇ 당첨 시 분양가 80%까지 대출
  ㅇ 금리 최저 연 2.2%(만기, 소득별 차등) 최장 40년까지 지원(고정금리)
  ㅇ 6억 이하, 전용면적 85제곱미터 이하 주택
  ㅇ 생애주기별 금리 인하: 결혼 0.1%p 인하, 출산: 0.5%p 인하, 다자녀: 0.2%p 인하",,내용 없음,청년정책(API),,청년주택드림청약통장 만 19세 34세 이자율 최대 45 소득기준 연 5000만원직전년도 신고소득이 있는 자 기준 무주택자 납입한도 월 100만원 납입금액의 40까지 소득공제 주택청약에 당첨된 경우 청년주택드림 대출 연계 청년주택드림 청약통장 1년 이상 가입 1000만원 이상 납입 당첨 시 분양가 80까지 대출 금리 최저 연 22만기 소득별 차등 최장 40년까지 지원고정금리 6억 이하 전용면적 85제곱미터 이하 주택 생애주기별 금리 인하 결혼 01 인하 출산 05 인하 다자녀 02 인하
창업도약패키지(투자병행형) 창업기업 모집,만 0세 ~ 0세,사업화자금과 투자유치 동시 지원,K-Startup 누리집 온라인 신청,내용 없음,청년정책(API),,창업도약패키지투자병행형 창업기업 모집 만 0세 0세 사업화자금과 투자유치 동시 지원
창업도약패키지(대기업협업형) 창업기업 모집,만 0세 ~ 0세,사업화자금(최대 2억원) / 대기업 협업 프로그램 등 지원,K-Startup 누리집 온라인 신청,내용 없음,청년정책(API),,창업도약패키지대기업협업형 창업기업 모집 만 0세 0세 사업화자금최대 2억원 대기업 협업 프로그램 등 지원
창업도약패키지(일반형) 창업기업 모집,만 0세 ~ 0세,"사업화자금(최대3억원) / 투자유치, 글로벌시장 진출 등 창업프로그램 지원",,내용 없음,청년정책(API),,창업도약패키지일반형 창업기업 모집 만 0세 0세 사업화자금최대3억원 투자유치 글로벌시장 진출 등 창업프로그램 지원
